BOLL_EMVStrategy_65_0.24298_33_115_17,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-29 20:00:00,BTCUSDT,LONG,0.0001623585051316014,Binance,6153.05,0.001
2017-11-04 11:00:00,BTCUSDT,CLOSE,0.0001623585051316014,Binance,7085.02,0.0011503132560274987
2017-11-14 01:00:00,BTCUSDT,LONG,0.00017394069115272197,Binance,6600.03,0.0011491629427714711
2017-11-18 02:00:00,BTCUSDT,CLOSE,0.00017394069115272197,Binance,7446.11,0.0012951815197991944
2017-11-18 04:00:00,BTCUSDT,LONG,0.00016787002165480285,Binance,7699.96,0.0012938863382793953
2017-11-18 22:00:00,BTCUSDT,CLOSE,0.00016787002165480285,Binance,7796.15,0.0013087398693240912
2017-11-26 03:00:00,BTCUSDT,LONG,0.00014832404011016643,Binance,8805.88,0.0013074311294547672
2017-11-29 19:00:00,BTCUSDT,CLOSE,0.00014832404011016643,Binance,9306.0,0.001380303517265209
2017-11-30 01:00:00,BTCUSDT,LONG,0.00013226503337332638,Binance,10415.03,0.0013789232137479434
2017-11-30 10:00:00,BTCUSDT,CLOSE,0.00013226503337332638,Binance,9402.15,0.0012435756835310206
2017-12-03 01:00:00,BTCUSDT,LONG,0.00011388234315834487,Binance,10898.0,0.00124233210784749
2017-12-04 07:00:00,BTCUSDT,CLOSE,0.00011388234315834487,Binance,11543.29,0.0013145769129562909
2017-12-05 11:00:00,BTCUSDT,LONG,0.00011247848711482263,Binance,11664.0,0.0013132623360433344
2017-12-08 19:00:00,BTCUSDT,CLOSE,0.00011247848711482263,Binance,15199.96,0.0017096685050058194
2017-12-09 04:00:00,BTCUSDT,LONG,0.00011131319015214347,Binance,15328.38,0.0017079588365008136
2017-12-09 10:00:00,BTCUSDT,CLOSE,0.00011131319015214347,Binance,14358.6,0.0015983015721185675
2017-12-14 19:00:00,BTCUSDT,LONG,9.756003469577385e-05,Binance,16350.0,0.0015967032705464488
2017-12-18 00:00:00,BTCUSDT,CLOSE,9.756003469577385e-05,Binance,17849.98,0.0017414446681188695
2017-12-18 04:00:00,BTCUSDT,LONG,9.293867898249261e-05,Binance,18700.11,0.0017397032234507505
2017-12-18 16:00:00,BTCUSDT,CLOSE,9.293867898249261e-05,Binance,18469.98,0.001716575542033059
2017-12-25 08:00:00,BTCUSDT,LONG,0.00012356540283221077,Binance,13864.27,0.001714858966491026
2017-12-25 14:00:00,BTCUSDT,CLOSE,0.00012356540283221077,Binance,13155.0,0.0016255028742577326
2017-12-25 18:00:00,BTCUSDT,LONG,0.00011781481809185006,Binance,13769.52,0.0016238773713834749
2017-12-28 02:00:00,BTCUSDT,CLOSE,0.00011781481809185006,Binance,13850.04,0.0016317399431648471
2018-01-02 02:00:00,BTCUSDT,LONG,0.00012043174789368885,Binance,13522.0,0.0016301082032216822
2018-01-07 16:00:00,BTCUSDT,CLOSE,0.00012043174789368885,Binance,15999.99,0.0019269067619815427
2018-01-13 02:00:00,BTCUSDT,LONG,0.00013674560960735585,Binance,14063.01,0.0019249798552195612
2018-01-14 04:00:00,BTCUSDT,CLOSE,0.00013674560960735585,Binance,13644.42,0.0018658145306387985
2018-01-19 15:00:00,BTCUSDT,LONG,0.00016334076906947818,Binance,11400.0,0.0018639487161081594
2018-01-21 09:00:00,BTCUSDT,CLOSE,0.00016334076906947818,Binance,11633.23,0.0019001807349621257
2018-01-21 11:00:00,BTCUSDT,LONG,0.00015551535844746727,Binance,12194.18,0.0018982805542271637
2018-01-21 14:00:00,BTCUSDT,CLOSE,0.00015551535844746727,Binance,11679.95,0.0018164116108984954
2018-01-27 15:00:00,BTCUSDT,LONG,0.00015811500303867954,Binance,11464.95,0.0018145951992875966
2018-01-29 07:00:00,BTCUSDT,CLOSE,0.00015811500303867954,Binance,11318.01,0.0017895471855418055
2018-02-04 03:00:00,BTCUSDT,LONG,0.00019372329000170378,Binance,9219.18,0.0017877576383562637
2018-02-04 09:00:00,BTCUSDT,CLOSE,0.00019372329000170378,Binance,8829.99,0.0017105747134821443
2018-02-07 07:00:00,BTCUSDT,LONG,0.00022257652567479318,Binance,7669.97,0.0017088641387686622
2018-02-10 15:00:00,BTCUSDT,CLOSE,0.00022257652567479318,Binance,8263.51,0.0018392633456789102
2018-02-10 22:00:00,BTCUSDT,LONG,0.00021494014141127776,Binance,8539.99,0.0018374240823332314
2018-02-11 00:00:00,BTCUSDT,CLOSE,0.00021494014141127776,Binance,8378.08,0.001800785699954998
2018-02-12 02:00:00,BTCUSDT,LONG,0.0002109868430782799,Binance,8518.0,0.0017989849142550432
2018-02-12 08:00:00,BTCUSDT,CLOSE,0.0002109868430782799,Binance,8758.0,0.0018478227716795755
2018-02-15 09:00:00,BTCUSDT,LONG,0.00019239578323383715,Binance,9585.08,0.0018459749489078958
2018-02-18 09:00:00,BTCUSDT,CLOSE,0.00019239578323383715,Binance,10101.1,0.0019434090460233124
2018-02-18 10:00:00,BTCUSDT,LONG,0.00018524586163708805,Binance,10470.0,0.0019414656369772891
2018-02-18 18:00:00,BTCUSDT,CLOSE,0.00018524586163708805,Binance,10745.0,0.001990466783290511
2018-02-19 07:00:00,BTCUSDT,LONG,0.00018366842032086124,Binance,10815.62,0.0019884763165072205
2018-02-19 09:00:00,BTCUSDT,CLOSE,0.00018366842032086124,Binance,10929.91,0.0020074793039491843
2018-02-27 01:00:00,BTCUSDT,LONG,0.00019651460057092595,Binance,10195.0,0.0020054718246452353
2018-02-28 23:00:00,BTCUSDT,CLOSE,0.00019651460057092595,Binance,10326.76,0.0020293591165918153
2018-03-01 08:00:00,BTCUSDT,LONG,0.00019012014998171818,Binance,10652.75,0.0020273297574752236
2018-03-04 14:00:00,BTCUSDT,CLOSE,0.00019012014998171818,Binance,11140.14,0.0021179650876173377
2018-03-11 14:00:00,BTCUSDT,LONG,0.00023032846960369425,Binance,9177.03,0.0021158471225297204
2018-03-12 19:00:00,BTCUSDT,CLOSE,0.00023032846960369425,Binance,8927.0,0.002056142248152179
2018-03-13 04:00:00,BTCUSDT,LONG,0.00021910988742477537,Binance,9365.31,0.002054086105904027
2018-03-13 10:00:00,BTCUSDT,CLOSE,0.00021910988742477537,Binance,8879.86,0.001945665124947766
2018-03-19 09:00:00,BTCUSDT,LONG,0.00023726110660057882,Binance,8184.13,0.001943719459822818
2018-03-22 10:00:00,BTCUSDT,CLOSE,0.00023726110660057882,Binance,8724.0,0.0020698658939834495
Sharpe Ratio,Sortino Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate
2.4500159724438975,3.207245378440508,25.622853074646567,680,1.0677960280894663,2.5131362724512964,4.528031462318009
Trades,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
29,0.6206896551724138,0.03049977757683766,0.07408239024241137,-0.040817224966828415,0.3031515775034293,-0.09725176019656218,0 days 09:00:00,1 days 19:41:23
