EMVStrategy_5_45_5,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 04:20:00+00:00,End date,2018-07-25 06:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 04:25:00+00:00,ETHUSDT,LONG,1,ARCA,480.01,0.013
2018-07-25 04:52:00+00:00,ETHUSDT,SHORT,1,ARCA,483.81,0.013
2018-07-25 04:53:00+00:00,ETHUSDT,LONG,1,ARCA,484.36,0.013
2018-07-25 05:10:00+00:00,ETHUSDT,SHORT,1,ARCA,484.17,0.013
2018-07-25 05:36:00+00:00,ETHUSDT,LONG,1,ARCA,483.66,0.013
2018-07-25 05:41:00+00:00,ETHUSDT,SHORT,1,ARCA,483.56,0.013
2018-07-25 05:46:00+00:00,ETHUSDT,LONG,1,ARCA,483.68,0.013
2018-07-25 05:59:00+00:00,ETHUSDT,SHORT,1,ARCA,484.22,0.013
