EMV_RSIStrategy_59_91_85_84_79_39,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-30 14:00:00,BTCUSDT,LONG,0.00016485148514851485,Binance,6060.0,0.001
2017-11-06 11:00:00,BTCUSDT,SHORT,0.00016485148514851485,Binance,7304.11,0.0012040933811881187
2017-12-30 16:00:00,BTCUSDT,LONG,0.0001011967745442324,Binance,11874.75,0.0012028892878069306
2017-12-31 03:00:00,BTCUSDT,SHORT,0.0001011967745442324,Binance,12977.75,0.0013133064408414122
2018-01-16 21:00:00,BTCUSDT,LONG,0.00013042901196797394,Binance,10049.0,0.0013119931344005708
2018-01-18 05:00:00,BTCUSDT,SHORT,0.00013042901196797394,Binance,10800.97,0.0014087598453957275
2018-02-06 03:00:00,BTCUSDT,LONG,0.00022221157323946885,Binance,6327.05,0.0014073510855503318
2018-02-14 03:00:00,BTCUSDT,SHORT,0.00022221157323946885,Binance,8709.0,0.0019352405913425341
2018-03-15 05:00:00,BTCUSDT,LONG,0.0002487112318815019,Binance,7765.52,0.0019333053507511917
2018-03-17 00:00:00,BTCUSDT,SHORT,0.0002487112318815019,Binance,8290.0,0.0020618161122976505
Sharpe Ratio,Sortino Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate
3.906411186079753,5.077363510428169,15.963119266055049,1323,1.059754296185353,2.4942094665727277,4.477565788975969
Trades,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
5,1.0,0.16340512593241102,0.16340512593241102,nan,0.3764708671497775,0.06753958524348654,1 days 19:00:00,3 days 16:36:00
