KDJStrategy_45_20_70,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-01 01:00:00,ETHUSD,LONG,100,ARCA,397.15,39.715
2018-04-01 02:00:00,ETHUSD,SHORT,100,ARCA,393.9,39.39
2018-04-01 03:00:00,ETHUSD,LONG,100,ARCA,393.18,39.318000000000005
2018-04-01 04:00:00,ETHUSD,SHORT,100,ARCA,394.41,39.441
2018-04-01 05:00:00,ETHUSD,LONG,100,ARCA,394.88,39.488
2018-04-01 06:00:00,ETHUSD,SHORT,100,ARCA,385.51,38.551
2018-04-01 07:00:00,ETHUSD,LONG,100,ARCA,377.0,37.7
2018-04-01 08:00:00,ETHUSD,SHORT,100,ARCA,377.14,37.714
2018-04-01 09:00:00,ETHUSD,LONG,100,ARCA,383.12,38.312000000000005
2018-04-01 10:00:00,ETHUSD,SHORT,100,ARCA,378.48,37.848000000000006
2018-04-01 11:00:00,ETHUSD,LONG,100,ARCA,374.9,37.49
2018-04-01 12:00:00,ETHUSD,SHORT,100,ARCA,375.44,37.544000000000004
2018-04-01 13:00:00,ETHUSD,LONG,100,ARCA,368.0,36.800000000000004
2018-04-01 17:00:00,ETHUSD,SHORT,100,ARCA,380.05,38.005
2018-04-01 18:00:00,ETHUSD,LONG,100,ARCA,379.21,37.921
2018-04-01 19:00:00,ETHUSD,SHORT,100,ARCA,382.78,38.278
2018-04-01 20:00:00,ETHUSD,LONG,100,ARCA,381.75,38.175000000000004
2018-04-01 21:00:00,ETHUSD,SHORT,100,ARCA,378.2,37.82
2018-04-01 22:00:00,ETHUSD,LONG,100,ARCA,377.15,37.714999999999996
2018-04-01 23:00:00,ETHUSD,SHORT,100,ARCA,378.67,37.867000000000004
2018-04-02 00:00:00,ETHUSD,LONG,100,ARCA,383.66,38.36600000000001
2018-04-02 01:00:00,ETHUSD,SHORT,100,ARCA,379.99,37.999
2018-04-02 02:00:00,ETHUSD,LONG,100,ARCA,382.64,38.264
2018-04-02 03:00:00,ETHUSD,SHORT,100,ARCA,383.5,38.35
2018-04-02 04:00:00,ETHUSD,LONG,100,ARCA,379.57,37.957
2018-04-02 05:00:00,ETHUSD,SHORT,100,ARCA,382.48,38.248000000000005
2018-04-02 06:00:00,ETHUSD,LONG,100,ARCA,380.94,38.094
2018-04-02 07:00:00,ETHUSD,SHORT,100,ARCA,388.95,38.895
2018-04-02 08:00:00,ETHUSD,LONG,100,ARCA,391.81,39.181000000000004
2018-04-02 09:00:00,ETHUSD,SHORT,100,ARCA,391.32,39.132000000000005
2018-04-02 18:00:00,ETHUSD,LONG,100,ARCA,383.59,38.359
2018-04-02 19:00:00,ETHUSD,SHORT,100,ARCA,382.15,38.214999999999996
2018-04-02 20:00:00,ETHUSD,LONG,100,ARCA,378.56,37.856
2018-04-02 21:00:00,ETHUSD,SHORT,100,ARCA,382.59,38.259
