MACD_BOLLStrategy_18_74_37_0.5319,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-02 07:00:00,BTCUSDT,LONG,0.00014149680676125282,Binance,7060.23,0.0009999999999999998
2018-04-04 18:00:00,BTCUSDT,SHORT,0.00014149680676125282,Binance,6850.0,0.0009692531263145818
2018-04-07 12:00:00,BTCUSDT,LONG,0.0001404351036100632,Binance,6887.99,0.0009682838731882674
2018-04-09 19:00:00,BTCUSDT,SHORT,0.0001404351036100632,Binance,6672.08,0.0009369942460946305
2018-04-11 17:00:00,BTCUSDT,LONG,0.00013542687166769065,Binance,6904.99,0.0009360572518485357
2018-04-16 17:00:00,BTCUSDT,SHORT,0.00013542687166769065,Binance,8031.02,0.001087615914900657
2018-04-18 21:00:00,BTCUSDT,LONG,0.00013238709241209548,Binance,8199.0,0.0010865282989857565
2018-04-25 22:00:00,BTCUSDT,SHORT,0.00013238709241209548,Binance,8955.0,0.0011855264125503152
2018-04-27 09:00:00,BTCUSDT,LONG,0.00012628418670633228,Binance,9369.0,0.0011843408861377648
2018-04-30 21:00:00,BTCUSDT,SHORT,0.00012628418670633228,Binance,9218.39,0.0011641368838917862
2018-05-02 23:00:00,BTCUSDT,LONG,0.00012563080061775563,Binance,9247.81,0.0011629727470078945
2018-05-06 14:00:00,BTCUSDT,SHORT,0.00012563080061775563,Binance,9573.95,0.0012027830035743617
2018-05-10 02:00:00,BTCUSDT,LONG,0.00012855460673094689,Binance,9337.5,0.0012015802205707874
2018-05-11 00:00:00,BTCUSDT,SHORT,0.00012855460673094689,Binance,8930.0,0.0011479926381073558
2018-05-13 22:00:00,BTCUSDT,LONG,0.00013112871409877067,Binance,8737.2,0.0011468446454692485
2018-05-16 01:00:00,BTCUSDT,SHORT,0.00013112871409877067,Binance,8315.01,0.0010903365690184193
2018-05-19 10:00:00,BTCUSDT,LONG,0.00013225064520216377,Binance,8227.99,0.0010892462324494008
2018-05-22 06:00:00,BTCUSDT,SHORT,0.00013225064520216377,Binance,8327.1,0.001101264347662938
2018-05-29 20:00:00,BTCUSDT,LONG,0.00014656126419948794,Binance,7499.0,0.0011001630833152752
2018-06-04 16:00:00,BTCUSDT,SHORT,0.00014656126419948794,Binance,7483.1,0.0010967325961311883
2018-06-06 06:00:00,BTCUSDT,LONG,0.00014339543557746764,Binance,7633.02,0.0010956358635350572
2018-06-08 14:00:00,BTCUSDT,SHORT,0.00014339543557746764,Binance,7579.98,0.001086934533768493
2018-06-15 03:00:00,BTCUSDT,LONG,0.00016430506437863744,Binance,6602.12,0.0010858475992347246
2018-06-16 04:00:00,BTCUSDT,SHORT,0.00016430506437863744,Binance,6423.99,0.001055494090517723
2018-06-17 09:00:00,BTCUSDT,LONG,0.00016131506648271176,Binance,6529.98,0.0010544385964272054
2018-06-17 23:00:00,BTCUSDT,SHORT,0.00016131506648271176,Binance,6449.61,0.0010404192659375627
2018-06-18 19:00:00,BTCUSDT,LONG,0.00015510035174833464,Binance,6694.63,0.0010393788466716253
2018-06-22 04:00:00,BTCUSDT,SHORT,0.00015510035174833464,Binance,6654.06,0.0010320470465545238
2018-06-25 07:00:00,BTCUSDT,LONG,0.00016752283298664697,Binance,6148.32,0.0010310149995079692
2018-06-27 06:00:00,BTCUSDT,SHORT,0.00016752283298664697,Binance,6064.22,0.0010158953142542844
2018-06-30 04:00:00,BTCUSDT,LONG,0.00015882157748146287,Binance,6383.67,0.00101487941894003
2018-07-05 20:00:00,BTCUSDT,SHORT,0.00015882157748146287,Binance,6507.97,0.001033606061602036
2018-07-07 04:00:00,BTCUSDT,LONG,0.00015622314785951417,Binance,6602.99,0.001032572455540434
2018-07-07 13:00:00,BTCUSDT,SHORT,0.00015622314785951417,Binance,6531.91,0.0010204355417350393
2018-07-07 23:00:00,BTCUSDT,LONG,0.00015071758257196422,Binance,6756.98,0.0010194151061933042
2018-07-10 07:00:00,BTCUSDT,SHORT,0.00015071758257196422,Binance,6601.17,0.0009949123845465731
2018-07-14 22:00:00,BTCUSDT,LONG,0.00015884794452690137,Binance,6250.78,0.0009939174721620265
2018-07-21 01:00:00,BTCUSDT,SHORT,0.00015884794452690137,Binance,7269.23,0.0011547022437932873
2018-07-22 02:00:00,BTCUSDT,LONG,0.00015518827571082698,Binance,7425.78,0.001153547541549494
2018-07-27 00:00:00,BTCUSDT,SHORT,0.00015518827571082698,Binance,7908.77,0.0012273483792935172
2018-07-28 06:00:00,BTCUSDT,LONG,0.00014937742803454993,Binance,8200.0,0.0012261210309142236
2018-07-30 13:00:00,BTCUSDT,SHORT,0.00014937742803454993,Binance,8118.09,0.0012126594047529996
2018-08-07 15:00:00,BTCUSDT,LONG,0.00017009488305128813,Binance,7115.06,0.0012114467453482466
