RSIStrategy_10_60_20,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:36:00+00:00,ETHUSDT,LONG,1,ARCA,482.01,0.013
2018-07-25 00:47:00+00:00,ETHUSDT,SHORT,1,ARCA,481.76,0.013
2018-07-25 00:55:00+00:00,ETHUSDT,LONG,1,ARCA,480.01,0.013
2018-07-25 01:11:00+00:00,ETHUSDT,SHORT,1,ARCA,479.87,0.013
2018-07-25 02:09:00+00:00,ETHUSDT,LONG,1,ARCA,480.49,0.013
2018-07-25 02:33:00+00:00,ETHUSDT,SHORT,1,ARCA,478.6,0.013
2018-07-25 03:07:00+00:00,ETHUSDT,LONG,1,ARCA,476.0,0.013
2018-07-25 03:17:00+00:00,ETHUSDT,SHORT,1,ARCA,476.69,0.013
